ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
936,Eur HI,FRA,France,PEILLON,"PEILLON, France",7.382182,43.777924,27,2014,0,measured data,17,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
2665,Amr HI,USA,United States of America,"Chicago-Naperville-Joliet, IL-IN-WI","Chicago-Naperville-Joliet, IL-IN-WI, United States of America",-88.7878678,43.7844397,21,2014,"5 stations, NA",converted from PM2.5,12,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
756,Eur HI,FRA,France,BESSIERES,"BESSIERES, France",1.606142,43.800464,18,2014,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
2778,Amr HI,USA,United States of America,"La Crosse, WI-MN","La Crosse, WI-MN, United States of America",-91.2395807,43.8013556,15,2014,"1 station, NA",converted from PM2.5,8,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
802,Eur HI,FRA,France,CONTES,"CONTES, France",7.31775,43.815268,27,2014,0,measured data,17,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
396,Wpr LMI,CHN,China,Changchun,"Changchun, China",125.323544,43.817072,130,2014,"10 stations, NA",measured data,64,measured data,PM10: NA; PM2.5:>75%,"Clean Air Asia, primary source: National Bureau of Statistics, China"
543,Wpr LMI,CHN,China,Urumqi,"Urumqi, China",87.616848,43.825592,146,2014,"7 stations, NA",measured data,64,measured data,PM10: NA; PM2.5:>75%,"Clean Air Asia, primary source: National Bureau of Statistics, China"
1010,Eur HI,FRA,France,TARTAS,"TARTAS, France",-0.809343,43.832059,20,2014,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
225,Eur LMI,BGR,Bulgaria,Ruse,"Ruse, Bulgaria",25.9656554,43.8355713,47,2013,0,measured data,33,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
894,Eur HI,FRA,France,MANOSQUE,"MANOSQUE, France",5.790916,43.835744,18,2014,"1 station, Background urban",measured data,11,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
921,Eur HI,FRA,France,NIMES,"NIMES, France",4.360054,43.836699,21,2014,"1 station, Background urban",measured data,14,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
1552,Eur HI,ITA,Italy,LUCCA,"LUCCA, Italy",10.4950609,43.8376211,29,2013,0,measured data,19,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
450,Wpr LMI,CHN,China,Jilin,"Jilin, China",126.549572,43.837883,76,2014,"7 stations, NA",converted from PM2.5,50,measured data,PM10: NA; PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
1480,Eur HI,ITA,Italy,CAPANNORI,"CAPANNORI, Italy",10.5733254,43.8418933,24,2013,0,measured data,16,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
